title,author,timestamp,product,language,translation_of
"Risk which meeting hear wish for whole","Samantha Fernandez","2021-12-09 18:00:35","ZX Spectrum","Spanish","Reduce hope technology similar spend"
"Accept will street to financial arm smile break","Cynthia Sharp","2022-01-09 05:08:36","","Portuguese",""
"Each front Mr true however","Cynthia Sharp","2021-11-25 10:38:06","Commodore 64","English",""
"Fast inside effect agency rest expect worker decade","Tammie Valdez","2020-04-27 05:51:51","ZX Spectrum","French",""
"Evening account allow message natural none","Taylor Castaneda","2022-01-18 22:20:27","ZX Spectrum","English",""
"Show hit live they door","Robert Bauer","2022-03-01 07:11:19","Commodore 64","English",""
"Carry sport argue trade cost","Robert Bauer","2022-11-22 15:22:16","Commodore 64","French","Show hit live they door"
"Boy Republican past hard customer","Robert Bauer","2022-12-10 12:19:14","Commodore 64","German","Show hit live they door"
"Pressure forget end hit trade consumer energy","Robert Bauer","2022-12-11 03:51:04","Commodore 64","Spanish","Show hit live they door"
"Compare ground detail her term investment follow","Elizabeth Keller","2021-09-24 03:46:57","Commodore 64","Portuguese",""
"Range time market everyone window","Katrina Cox","2020-01-09 02:44:14","Apple II","English",""
"Anyone smile radio whose these","Katrina Cox","2020-10-09 18:53:22","Apple II","Portuguese","Range time market everyone window"
"Fear young second medical road with","Katrina Cox","2022-12-13 09:43:32","Apple II","French","Range time market everyone window"
"Indeed address cover affect interest rule","Valerie Howard MD","2020-09-13 10:08:17","Commodore 64","English",""
"Perhaps serve what American them throughout","Valerie Howard MD","2020-12-14 15:52:41","Commodore 64","French","Indeed address cover affect interest rule"
"Mother party generation subject","Valerie Howard MD","2022-07-31 09:08:58","Commodore 64","Portuguese","Indeed address cover affect interest rule"
"Strategy test have growth worry standard among","John Duffy","2020-09-23 03:17:33","Commodore 64","German",""
"Agent themselves structure raise","Dr. Vincent Mccullough","2020-05-28 02:11:11","Apple II","English",""
"Organization type participant trial that movie along","Robert Aguilar","2022-03-09 13:14:16","Amiga","English",""
"Others just direction safe describe state appear","Robert Aguilar","2022-11-02 10:31:18","Amiga","German","Organization type participant trial that movie along"
"Performance party couple whatever market music","Robert Aguilar","2022-12-03 07:53:18","Amiga","Italian","Organization type participant trial that movie along"
"Box myself past north talk create look south","Elizabeth Keller","2022-05-03 07:17:18","ZX Spectrum","English",""
"Firm seat affect job goal fill","Kim Hill","2020-11-17 01:27:51","ZX Spectrum","German",""
"Operation role partner father","Valerie Howard MD","2020-04-30 10:02:45","Commodore 64","English",""
"Star short thought","Robert Bauer","2021-05-13 14:19:31","Commodore 64","English",""
"Economic chair inside surface indeed home","Katrina Cox","2020-01-31 04:38:33","BBC Micro","English",""
"Business seven ability cup church similar itself","Cynthia Sharp","2020-06-07 02:48:42","TRS-80 Color Computer","English",""
"Face father pass must his this major","Cynthia Sharp","2022-10-19 04:21:06","TRS-80 Color Computer","German","Business seven ability cup church similar itself"
"What store say","Cynthia Sharp","2022-12-01 19:28:44","TRS-80 Color Computer","Portuguese","Business seven ability cup church similar itself"
"Beyond pick exactly himself letter clear","Cynthia Sharp","2022-12-21 22:14:48","TRS-80 Color Computer","Italian","Business seven ability cup church similar itself"
"Half court thus pass possible","Samantha Fernandez","2022-02-24 16:28:23","Commodore 64","English",""
"Record gun in","Elizabeth Keller","2022-02-21 17:03:50","Commodore 64","English",""
"Any according mean town kind center year","Elizabeth Keller","2022-04-24 19:27:39","Commodore 64","Spanish","Record gun in"
"Situation she style audience agent customer need","Elizabeth Keller","2022-06-17 21:35:38","Commodore 64","Portuguese","Record gun in"
"Travel play responsibility analysis particular way","Katrina Cox","2021-05-02 23:05:45","Commodore 64","English",""
"On administration top game special development","Elizabeth Keller","2020-02-07 18:10:08","Commodore 64","English",""
"Give all community","Elizabeth Keller","2021-05-14 11:03:21","Commodore 64","Italian","On administration top game special development"
"Tonight candidate everything dream full administration order station","Elizabeth Keller","2022-03-24 13:26:02","Commodore 64","German","On administration top game special development"
"These data raise support interview","Samantha Fernandez","2021-08-16 04:02:39","ZX Spectrum","English",""
"Personal expert though pass guy fill goal","Robert Aguilar","2022-05-14 22:03:45","Commodore 64","English",""
"Couple international million","Robert Aguilar","2022-12-31 19:37:36","Commodore 64","Spanish","Personal expert though pass guy fill goal"
"Soon worry those return now information statement community","Robert Aguilar","2022-12-31 22:32:21","Commodore 64","Portuguese","Personal expert though pass guy fill goal"
"Sell human common positive school major exactly war","Robert Aguilar","2022-12-31 23:23:21","Commodore 64","Italian","Personal expert though pass guy fill goal"
"Yard cup trouble kid","Cynthia Sharp","2022-08-03 12:32:16","Commodore 64","English",""
"Direction federal model record commercial middle audience","Taylor Castaneda","2020-07-24 10:54:24","","English",""
"Least red institution number","Amber Golden","2021-02-04 19:00:39","ZX Spectrum","English",""
"Lot serve tough work coach those create","Robert Bauer","2021-04-09 06:03:37","","English",""
"Whole series design","John Duffy","2020-08-27 08:06:12","Commodore 64","English",""
"Song director accept little let case","John Duffy","2021-05-09 13:49:42","Commodore 64","Portuguese","Whole series design"
"Image development serve","Elizabeth Keller","2021-12-21 17:19:08","TI-99/4A","English",""
"Society late director sometimes far","Valerie Howard MD","2022-06-04 12:26:34","ZX Spectrum","English",""
"Sometimes detail article their","Valerie Howard MD","2021-11-20 12:26:43","TRS-80 Color Computer","English",""
"Unit matter owner collection","Robert Bauer","2021-05-29 07:10:38","ZX Spectrum","English",""
"Past development create","David Contreras","2022-12-07 21:30:46","TRS-80 Color Computer","English",""
"Hard social government public","Katrina Cox","2021-03-25 02:10:56","Apple II","Italian",""
"Concern power painting but","Amber Golden","2021-12-05 01:09:12","TRS-80 Color Computer","Italian",""
"Save debate economy structure","Robert Bauer","2021-01-08 07:48:59","","English",""
"On challenge nature eight mind box dinner language","Samantha Fernandez","2021-05-08 18:15:36","","English",""
"Write system opportunity product quickly","Samantha Fernandez","2022-06-12 18:38:17","","French","On challenge nature eight mind box dinner language"
"Choose risk least try strategy lose","Samantha Fernandez","2022-07-31 11:51:04","","Portuguese","On challenge nature eight mind box dinner language"
"Daughter step dinner never","Robert Aguilar","2021-09-15 12:12:05","Commodore 64","English",""
"Dark its near his president yes become","David Contreras","2022-12-01 08:40:05","Commodore 64","English",""
"Particular poor seem","David Contreras","2022-12-31 11:38:40","Commodore 64","French","Dark its near his president yes become"
"Resource soon strong heart pull north","David Contreras","2022-12-31 20:43:42","Commodore 64","Italian","Dark its near his president yes become"
"On star news oil couple decade","David Contreras","2022-12-31 21:43:56","Commodore 64","German","Dark its near his president yes become"
"Executive record remain me build","John Duffy","2021-12-06 21:44:55","Commodore 64","French",""
"Consider heavy practice suffer","Tammie Valdez","2020-12-14 11:21:34","ZX Spectrum","English",""
"Baby reflect begin still relate light central final","Katrina Cox","2020-03-07 17:05:37","BBC Micro","Spanish",""
"Impact occur particular pick care economy","Travis Rodriguez","2020-05-22 02:41:07","ZX Spectrum","French",""
"Billion free strategy gun stage low local","Katrina Cox","2021-04-10 05:33:24","Amiga","Spanish",""
"Use drive crime general cultural talk","Elizabeth Keller","2020-10-14 09:42:25","ZX Spectrum","Portuguese",""
"Political issue through American network for","Tammie Valdez","2021-09-02 21:30:00","ZX Spectrum","English",""
"Cost actually team look peace contain health","Tammie Valdez","2022-05-27 04:51:20","ZX Spectrum","Portuguese","Political issue through American network for"
"Whatever fish what continue political","Tammie Valdez","2022-08-31 11:55:15","ZX Spectrum","French","Political issue through American network for"
"Behind property understand","Tammie Valdez","2022-12-07 20:41:29","ZX Spectrum","German","Political issue through American network for"
"Address but forget base six newspaper","Valerie Howard MD","2022-08-05 01:01:15","ZX Spectrum","French",""
"Attorney yet hair lose claim market raise","Amber Golden","2021-06-03 03:14:22","Amiga","English",""
"Tend draw room conference charge","Taylor Castaneda","2022-05-18 00:00:37","Apple II","English",""
"Live color pull spring newspaper reflect apply","Cynthia Sharp","2020-11-30 18:55:34","ZX Spectrum","English",""
"Assume after option join real traditional","Tammie Valdez","2021-12-13 06:22:50","Amiga","English",""
"Identify wear fast community much fire prevent","Cynthia Sharp","2022-05-06 20:45:44","ZX Spectrum","French",""
"Gas strong important help wrong","Robert Aguilar","2022-06-02 19:33:12","TI-99/4A","English",""
"Learn particularly to door realize recognize they","Elizabeth Keller","2021-03-05 10:12:25","ZX Spectrum","English",""
"Stop poor important her author beat","Robert Aguilar","2022-03-15 11:46:10","","English",""
"Skin southern against under","Robert Aguilar","2022-06-12 04:08:39","","Portuguese","Stop poor important her author beat"
"World finally reflect those","Robert Aguilar","2022-09-14 09:05:16","","Spanish","Stop poor important her author beat"
"Administration cause whether already","Cynthia Sharp","2022-12-05 17:46:11","Commodore 64","English",""
"For condition help catch within sell between international","Elizabeth Keller","2021-08-18 19:51:08","Commodore 64","English",""
"Despite some Democrat dark point weight","Taylor Castaneda","2020-03-23 05:28:58","Commodore 64","English",""
"Television yeah require world","John Duffy","2022-08-04 16:05:00","","English",""
"Pass outside consider citizen identify order find","Samantha Fernandez","2022-11-20 06:03:16","ZX Spectrum","English",""
"Improve activity sister piece","Samantha Fernandez","2022-11-23 01:54:30","ZX Spectrum","French","Pass outside consider citizen identify order find"
"Onto particular generation spring effect into more","Samantha Fernandez","2022-12-06 07:20:56","ZX Spectrum","Spanish","Pass outside consider citizen identify order find"
"Moment foot to generation especially more apply","Dr. Vincent Mccullough","2021-06-17 15:32:37","ZX Spectrum","English",""
"Alone discuss condition can require stuff fire","Elizabeth Keller","2020-10-28 05:37:18","BBC Micro","English",""
"Task safe remain second rock","David Contreras","2022-06-21 09:45:37","ZX Spectrum","Spanish",""
"Through quality former two adult represent direction","Cynthia Sharp","2020-01-18 22:11:02","ZX Spectrum","English",""
"Prepare culture part budget star organization there","Cynthia Sharp","2022-07-25 21:42:20","ZX Spectrum","Spanish","Through quality former two adult represent direction"
"Kid message everyone gun wait reason","Cynthia Sharp","2022-08-28 16:23:32","ZX Spectrum","Portuguese","Through quality former two adult represent direction"
"Arm partner major positive","Cynthia Sharp","2022-10-01 01:51:18","ZX Spectrum","German","Through quality former two adult represent direction"
"Particularly turn war might service enough","Cynthia Sharp","2021-02-14 17:21:42","Commodore 64","English",""
"Shoulder full away still detail deep","Cynthia Sharp","2020-08-16 15:01:48","ZX Spectrum","English",""
"Certainly air cultural bed manager quite TV","Cynthia Sharp","2021-04-26 11:33:06","TRS-80 Color Computer","English",""
"Smile rise develop fire seek sure society do","Dr. Vincent Mccullough","2022-06-05 18:44:47","TI-99/4A","English",""
"Teacher per instead than institution herself his","Dr. Vincent Mccullough","2022-08-30 04:03:27","TI-99/4A","Portuguese","Smile rise develop fire seek sure society do"
"Agree section mission must former character American","Dr. Vincent Mccullough","2022-12-28 22:56:24","TI-99/4A","German","Smile rise develop fire seek sure society do"
"Evening however issue","Robert Bauer","2020-07-07 18:52:09","ZX Spectrum","English",""
"And sometimes own","Taylor Castaneda","2022-06-07 16:43:16","TI-99/4A","English",""
"Their image commercial","Valerie Howard MD","2021-01-29 12:15:26","BBC Micro","English",""
"Often above home consider her join miss","Kim Hill","2020-04-06 11:08:51","ZX Spectrum","English",""
"Seven box how agree step success","Elizabeth Keller","2021-10-04 03:46:48","Apple II","German",""
"Student bag discuss fire either answer","Samantha Fernandez","2021-02-20 21:03:47","ZX Spectrum","English",""
"Already range great rather","John Duffy","2022-04-30 18:02:48","Commodore 128","French",""
"Court event citizen see feel side picture","Travis Rodriguez","2021-06-10 10:41:03","","Spanish",""
"Treat strong truth ability fish control size","Robert Aguilar","2022-10-03 03:08:18","TI-99/4A","English",""
"Pick fund avoid red tree blood best","Taylor Castaneda","2022-07-03 03:45:36","BBC Micro","English",""
"Assume a require","David Contreras","2022-02-09 00:13:45","TRS-80 Color Computer","English",""
"Follow nice including wide chance","Valerie Howard MD","2020-07-10 14:27:54","TRS-80 Color Computer","English",""
"Recognize arrive forget against pay level","Valerie Howard MD","2022-04-21 23:29:31","TRS-80 Color Computer","French","Follow nice including wide chance"
"Last hot office relate","Valerie Howard MD","2022-11-25 07:46:00","TRS-80 Color Computer","Spanish","Follow nice including wide chance"
"Catch may choose try test","John Duffy","2022-03-28 18:24:45","ZX Spectrum","English",""
"One ask hospital expert still within","Valerie Howard MD","2021-04-23 16:33:26","Commodore 64","English",""
"Fast goal huge animal character reduce","Cynthia Sharp","2020-05-09 11:44:40","ZX Spectrum","English",""
"Again night full","Elizabeth Keller","2022-06-25 16:32:30","TRS-80 Color Computer","English",""
"Wind rule marriage few five decision","Tammie Valdez","2021-04-17 05:41:49","","English",""
"Training budget sound listen have newspaper quite police","Cynthia Sharp","2021-08-17 12:09:52","Commodore 64","English",""
"Player page kid","Cynthia Sharp","2021-11-13 07:08:22","Apple II","English",""
"Hundred music morning","David Contreras","2020-01-13 21:18:29","Amiga","English",""
"Still defense foreign social","David Contreras","2020-11-08 22:50:26","Amiga","Spanish","Hundred music morning"
"Anything often since receive relationship role by","David Contreras","2022-05-06 16:18:04","Amiga","Italian","Hundred music morning"
"Them member direction","David Contreras","2022-05-11 13:58:05","Amiga","Portuguese","Hundred music morning"
"Partner herself pull best although","Katrina Cox","2022-12-11 07:44:13","Commodore 64","Italian",""
"Full practice hour push radio job defense","Mr. Terry Parker","2021-01-03 13:02:42","Commodore 64","English",""
"Discussion listen instead upon","John Duffy","2020-07-31 08:42:47","ZX Spectrum","English",""
"Our activity public responsibility represent","Tammie Valdez","2020-10-31 20:25:22","Apple II","English",""
"Artist cultural above director country contain happen","Tammie Valdez","2020-12-07 02:33:38","Apple II","German","Our activity public responsibility represent"
"Policy which for environment structure","Tammie Valdez","2022-01-18 17:08:55","Apple II","Portuguese","Our activity public responsibility represent"
"Effect maybe wait many risk with itself","Tammie Valdez","2022-02-14 18:06:53","Apple II","French","Our activity public responsibility represent"
"Provide support can within job establish","John Duffy","2021-09-15 04:50:03","ZX Spectrum","English",""
"On amount with building","Valerie Howard MD","2021-09-18 23:30:58","TRS-80 Color Computer","French",""
"Sea most defense break","Robert Bauer","2022-08-19 17:42:45","BBC Micro","English",""
"Since against amount plant resource while management avoid","Elizabeth Keller","2020-04-01 13:55:57","ZX Spectrum","English",""
"Your to attack material treatment pretty","Elizabeth Keller","2021-09-19 07:55:41","ZX Spectrum","English",""
"Easy newspaper station hotel week","Samantha Fernandez","2020-02-08 16:28:18","Commodore 128","English",""
"Relate material election","Tammie Valdez","2022-07-02 23:24:41","ZX Spectrum","English",""
"Summer newspaper center interview officer","Cynthia Sharp","2021-01-09 00:03:10","","French",""
"Man southern senior soon","Valerie Howard MD","2021-03-15 22:18:03","ZX Spectrum","English",""
"Position guy student","Amber Golden","2020-02-29 17:53:39","BBC Micro","English",""
"House yard social organization together","Elizabeth Keller","2021-06-04 23:43:55","Amiga","English",""
"Shake piece memory poor","Elizabeth Keller","2021-07-25 12:01:42","Amiga","French","House yard social organization together"
"Economy draw within worry establish","Elizabeth Keller","2022-10-06 07:47:30","Amiga","Portuguese","House yard social organization together"
"Local unit fast type indicate care culture","Elizabeth Keller","2022-12-19 21:32:48","Amiga","German","House yard social organization together"
"Memory television cup guess wait sister including","Tammie Valdez","2020-05-28 07:55:16","ZX Spectrum","English",""
"Smile shoulder response affect energy","Tammie Valdez","2020-09-04 05:46:00","ZX Spectrum","French","Memory television cup guess wait sister including"
"Unit red father decision section","Tammie Valdez","2022-04-30 00:35:02","ZX Spectrum","German","Memory television cup guess wait sister including"
"Figure state stock others hotel","Dr. Vincent Mccullough","2022-08-11 16:59:43","Commodore 64","English",""
"Effect carry east few prove act","John Duffy","2022-03-29 00:23:24","ZX Spectrum","English",""
"Avoid of series eye","Robert Bauer","2020-12-08 15:40:05","","English",""
"Responsibility star which force","Robert Bauer","2022-01-13 19:30:01","","Portuguese","Avoid of series eye"
"This computer ok night expect quickly","Valerie Howard MD","2021-04-04 10:48:01","Commodore 64","German",""
"Know draw section wait operation","Robert Aguilar","2020-07-19 05:45:25","Commodore 64","English",""
"Decade hard center their glass memory forget","Samantha Fernandez","2021-09-19 08:22:04","Commodore 64","English",""
"System nearly thousand forget bar fine significant","Robert Aguilar","2021-11-21 08:06:32","ZX Spectrum","English",""
"Relate would long nice sense in woman whom","David Contreras","2022-04-22 19:05:35","Amiga","English",""
"Exist they particular important note kitchen current","Elizabeth Keller","2020-06-29 19:45:25","Amiga","English",""
"Building there various final car sort foot","Cynthia Sharp","2022-01-25 10:07:38","ZX Spectrum","German",""
"Summer so society often voice smile","Katrina Cox","2020-09-21 06:11:21","TRS-80 Color Computer","English",""
"Suggest garden recognize get focus most music","Valerie Howard MD","2021-01-17 08:20:11","ZX Spectrum","English",""
"Case event say marriage room country wall around","Valerie Howard MD","2021-11-30 13:26:29","ZX Spectrum","German","Suggest garden recognize get focus most music"
"Choose popular rather relationship tell full down","Valerie Howard MD","2022-12-09 01:39:27","ZX Spectrum","Portuguese","Suggest garden recognize get focus most music"
"One thought should grow deal cover","Valerie Howard MD","2022-12-20 07:56:00","ZX Spectrum","French","Suggest garden recognize get focus most music"
"Full any particular white sure","Elizabeth Keller","2022-03-28 11:02:42","ZX Spectrum","Portuguese",""
"Other main wait","Robert Bauer","2020-03-20 11:14:33","Amiga","Spanish",""
